"","Car_Name","Selling_Price","Present_Price","Kms_Driven","Owner","Fuel_Type.CNG","Fuel_Type.Diesel","Fuel_Type.Petrol","Seller_Type.Dealer","Seller_Type.Individual","Transmission.Automatic","Transmission.Manual"
"1","ritz",3.35,5.59,27000,0,0,0,1,1,0,0,1
"2","sx4",4.75,9.54,43000,0,0,1,0,1,0,0,1
"3","ciaz",7.25,9.85,6900,0,0,0,1,1,0,0,1
"4","wagon r",2.85,4.15,5200,0,0,0,1,1,0,0,1
"5","swift",4.6,6.87,42450,0,0,1,0,1,0,0,1
"6","vitara brezza",9.25,9.83,2071,0,0,1,0,1,0,0,1
"7","ciaz",6.75,8.12,18796,0,0,0,1,1,0,0,1
"8","s cross",6.5,8.61,33429,0,0,1,0,1,0,0,1
"9","ciaz",8.75,8.89,20273,0,0,1,0,1,0,0,1
"10","ciaz",7.45,8.92,42367,0,0,1,0,1,0,0,1
"11","alto 800",2.85,3.6,2135,0,0,0,1,1,0,0,1
"12","ciaz",6.85,10.38,51000,0,0,1,0,1,0,0,1
"13","ciaz",7.5,9.94,15000,0,0,0,1,1,0,1,0
"14","ertiga",6.1,7.71,26000,0,0,0,1,1,0,0,1
"15","dzire",2.25,7.21,77427,0,0,0,1,1,0,0,1
"16","ertiga",7.75,10.79,43000,0,0,1,0,1,0,0,1
"17","ertiga",7.25,10.79,41678,0,0,1,0,1,0,0,1
"18","ertiga",7.75,10.79,43000,0,0,1,0,1,0,0,1
"19","wagon r",3.25,5.09,35500,0,1,0,0,1,0,0,1
"20","sx4",2.65,7.98,41442,0,0,0,1,1,0,0,1
"21","alto k10",2.85,3.95,25000,0,0,0,1,1,0,0,1
"22","ignis",4.9,5.71,2400,0,0,0,1,1,0,0,1
"23","sx4",4.4,8.01,50000,0,0,0,1,1,0,1,0
"24","alto k10",2.5,3.46,45280,0,0,0,1,1,0,0,1
"25","wagon r",2.9,4.41,56879,0,0,0,1,1,0,0,1
"26","swift",3,4.99,20000,0,0,0,1,1,0,0,1
"27","swift",4.15,5.87,55138,0,0,0,1,1,0,0,1
"28","swift",6,6.49,16200,0,0,0,1,0,1,0,1
"29","alto k10",1.95,3.95,44542,0,0,0,1,1,0,0,1
"30","ciaz",7.45,10.38,45000,0,0,1,0,1,0,0,1
"31","ritz",3.1,5.98,51439,0,0,1,0,1,0,0,1
"32","ritz",2.35,4.89,54200,0,0,0,1,1,0,0,1
"33","swift",4.95,7.49,39000,0,0,1,0,1,0,0,1
"34","ertiga",6,9.95,45000,0,0,1,0,1,0,0,1
"35","dzire",5.5,8.06,45000,0,0,1,0,1,0,0,1
"36","sx4",2.95,7.74,49998,0,1,0,0,1,0,0,1
"37","dzire",4.65,7.2,48767,0,0,0,1,1,0,0,1
"38","800",0.35,2.28,127000,0,0,0,1,0,1,0,1
"39","alto k10",3,3.76,10079,0,0,0,1,1,0,0,1
"40","sx4",2.25,7.98,62000,0,0,0,1,1,0,0,1
"41","baleno",5.85,7.87,24524,0,0,0,1,1,0,1,0
"42","alto k10",2.55,3.98,46706,0,0,0,1,1,0,0,1
"43","sx4",1.95,7.15,58000,0,0,0,1,1,0,0,1
"44","dzire",5.5,8.06,45780,0,0,1,0,1,0,0,1
"45","omni",1.25,2.69,50000,0,0,0,1,1,0,0,1
"46","ciaz",7.5,12.04,15000,0,0,0,1,1,0,1,0
"47","ritz",2.65,4.89,64532,0,0,0,1,1,0,0,1
"48","wagon r",1.05,4.15,65000,0,0,0,1,1,0,0,1
"49","ertiga",5.8,7.71,25870,0,0,0,1,1,0,0,1
"50","ciaz",7.75,9.29,37000,0,0,0,1,1,0,1,0
"51","fortuner",14.9,30.61,104707,0,0,1,0,1,0,1,0
"52","fortuner",23,30.61,40000,0,0,1,0,1,0,1,0
"53","innova",18,19.77,15000,0,0,1,0,1,0,1,0
"54","fortuner",16,30.61,135000,0,0,1,0,0,1,1,0
"55","innova",2.75,10.21,90000,0,0,0,1,0,1,0,1
"56","corolla altis",3.6,15.04,70000,0,0,0,1,1,0,1,0
"57","etios cross",4.5,7.27,40534,0,0,0,1,1,0,0,1
"58","corolla altis",4.75,18.54,50000,0,0,0,1,1,0,0,1
"59","etios g",4.1,6.8,39485,1,0,0,1,1,0,0,1
"60","fortuner",19.99,35.96,41000,0,0,1,0,1,0,1,0
"61","corolla altis",6.95,18.61,40001,0,0,0,1,1,0,0,1
"62","etios cross",4.5,7.7,40588,0,0,0,1,1,0,0,1
"63","fortuner",18.75,35.96,78000,0,0,1,0,1,0,1,0
"64","fortuner",23.5,35.96,47000,0,0,1,0,1,0,1,0
"65","fortuner",33,36.23,6000,0,0,1,0,1,0,1,0
"66","etios liva",4.75,6.95,45000,0,0,1,0,1,0,0,1
"67","innova",19.75,23.15,11000,0,0,0,1,1,0,1,0
"68","fortuner",9.25,20.45,59000,0,0,1,0,1,0,0,1
"69","corolla altis",4.35,13.74,88000,0,0,0,1,1,0,0,1
"70","corolla altis",14.25,20.91,12000,0,0,0,1,1,0,0,1
"71","etios liva",3.95,6.76,71000,0,0,1,0,1,0,0,1
"72","corolla altis",4.5,12.48,45000,0,0,1,0,1,0,0,1
"73","corolla altis",7.45,18.61,56001,0,0,0,1,1,0,0,1
"74","etios liva",2.65,5.71,43000,0,0,0,1,1,0,0,1
"75","etios cross",4.9,8.93,83000,0,0,1,0,1,0,0,1
"76","etios g",3.95,6.8,36000,0,0,0,1,1,0,0,1
"77","corolla altis",5.5,14.68,72000,0,0,0,1,1,0,0,1
"78","corolla",1.5,12.35,135154,0,0,0,1,1,0,1,0
"79","corolla altis",5.25,22.83,80000,0,0,0,1,1,0,1,0
"80","fortuner",14.5,30.61,89000,0,0,1,0,1,0,1,0
"81","corolla altis",14.73,14.89,23000,0,0,1,0,1,0,0,1
"82","etios gd",4.75,7.85,40000,0,0,1,0,1,0,0,1
"83","innova",23,25.39,15000,0,0,1,0,1,0,1,0
"84","innova",12.5,13.46,38000,0,0,1,0,1,0,0,1
"85","innova",3.49,13.46,197176,0,0,1,0,1,0,0,1
"86","camry",2.5,23.73,142000,3,0,0,1,0,1,1,0
"87","land cruiser",35,92.6,78000,0,0,1,0,1,0,0,1
"88","corolla altis",5.9,13.74,56000,0,0,0,1,1,0,0,1
"89","etios liva",3.45,6.05,47000,0,0,0,1,1,0,0,1
"90","etios g",4.75,6.76,40000,0,0,0,1,1,0,0,1
"91","corolla altis",3.8,18.61,62000,0,0,0,1,1,0,0,1
"92","innova",11.25,16.09,58242,0,0,1,0,1,0,0,1
"93","innova",3.51,13.7,75000,0,0,0,1,1,0,0,1
"94","fortuner",23,30.61,40000,0,0,1,0,1,0,1,0
"95","corolla altis",4,22.78,89000,0,0,0,1,1,0,1,0
"96","corolla altis",5.85,18.61,72000,0,0,0,1,1,0,0,1
"97","innova",20.75,25.39,29000,0,0,1,0,1,0,1,0
"98","corolla altis",17,18.64,8700,0,0,0,1,1,0,0,1
"99","corolla altis",7.05,18.61,45000,0,0,0,1,1,0,0,1
"100","fortuner",9.65,20.45,50024,0,0,1,0,1,0,0,1
"101","Royal Enfield Thunder 500",1.75,1.9,3000,0,0,0,1,0,1,0,1
"102","UM Renegade Mojave",1.7,1.82,1400,0,0,0,1,0,1,0,1
"103","KTM RC200",1.65,1.78,4000,0,0,0,1,0,1,0,1
"104","Bajaj Dominar 400",1.45,1.6,1200,0,0,0,1,0,1,0,1
"105","Royal Enfield Classic 350",1.35,1.47,4100,0,0,0,1,0,1,0,1
"106","KTM RC390",1.35,2.37,21700,0,0,0,1,0,1,0,1
"107","Hyosung GT250R",1.35,3.45,16500,1,0,0,1,0,1,0,1
"108","Royal Enfield Thunder 350",1.25,1.5,15000,0,0,0,1,0,1,0,1
"109","Royal Enfield Thunder 350",1.2,1.5,18000,0,0,0,1,0,1,0,1
"110","Royal Enfield Classic 350",1.2,1.47,11000,0,0,0,1,0,1,0,1
"111","KTM RC200",1.2,1.78,6000,0,0,0,1,0,1,0,1
"112","Royal Enfield Thunder 350",1.15,1.5,8700,0,0,0,1,0,1,0,1
"113","KTM 390 Duke",1.15,2.4,7000,0,0,0,1,0,1,0,1
"114","Mahindra Mojo XT300",1.15,1.4,35000,0,0,0,1,0,1,0,1
"115","Royal Enfield Classic 350",1.15,1.47,17000,0,0,0,1,0,1,0,1
"116","Royal Enfield Classic 350",1.11,1.47,17500,0,0,0,1,0,1,0,1
"117","Royal Enfield Classic 350",1.1,1.47,33000,0,0,0,1,0,1,0,1
"118","Royal Enfield Thunder 500",1.1,1.9,14000,0,0,0,1,0,1,0,1
"119","Royal Enfield Classic 350",1.1,1.47,26000,0,0,0,1,0,1,0,1
"120","Royal Enfield Thunder 500",1.05,1.9,5400,0,0,0,1,0,1,0,1
"121","Bajaj Pulsar RS200",1.05,1.26,5700,0,0,0,1,0,1,0,1
"122","Royal Enfield Thunder 350",1.05,1.5,6900,0,0,0,1,0,1,0,1
"123","Royal Enfield Bullet 350",1.05,1.17,6000,0,0,0,1,0,1,0,1
"124","Royal Enfield Classic 350",1,1.47,46500,0,0,0,1,0,1,0,1
"125","Royal Enfield Classic 500",0.95,1.75,11500,0,0,0,1,0,1,0,1
"126","Royal Enfield Classic 500",0.9,1.75,40000,0,0,0,1,0,1,0,1
"127","Bajaj Avenger 220",0.9,0.95,1300,0,0,0,1,0,1,0,1
"128","Bajaj Avenger 150",0.75,0.8,7000,0,0,0,1,0,1,0,1
"129","Honda CB Hornet 160R",0.8,0.87,3000,0,0,0,1,0,1,0,1
"130","Yamaha FZ S V 2.0",0.78,0.84,5000,0,0,0,1,0,1,0,1
"131","Honda CB Hornet 160R",0.75,0.87,11000,0,0,0,1,0,1,0,1
"132","Yamaha FZ 16",0.75,0.82,18000,0,0,0,1,0,1,0,1
"133","Bajaj Avenger 220",0.75,0.95,3500,0,0,0,1,0,1,0,1
"134","Bajaj Avenger 220",0.72,0.95,500,0,0,0,1,0,1,0,1
"135","TVS Apache RTR 160",0.65,0.81,11800,0,0,0,1,0,1,0,1
"136","Bajaj Pulsar 150",0.65,0.74,5000,0,0,0,1,0,1,0,1
"137","Honda CBR 150",0.65,1.2,23500,0,0,0,1,0,1,0,1
"138","Hero Extreme",0.65,0.787,16000,0,0,0,1,0,1,0,1
"139","Honda CB Hornet 160R",0.6,0.87,15000,0,0,0,1,0,1,0,1
"140","Bajaj Avenger 220 dtsi",0.6,0.95,16600,0,0,0,1,0,1,0,1
"141","Honda CBR 150",0.6,1.2,32000,0,0,0,1,0,1,0,1
"142","Bajaj Avenger 150 street",0.6,0.8,20000,0,0,0,1,0,1,0,1
"143","Yamaha FZ  v 2.0",0.6,0.84,29000,0,0,0,1,0,1,0,1
"144","Yamaha FZ  v 2.0",0.6,0.84,25000,0,0,0,1,0,1,0,1
"145","Bajaj Pulsar  NS 200",0.6,0.99,25000,0,0,0,1,0,1,0,1
"146","TVS Apache RTR 160",0.6,0.81,19000,0,0,0,1,0,1,0,1
"147","Hero Extreme",0.55,0.787,15000,0,0,0,1,0,1,0,1
"148","Yamaha FZ S V 2.0",0.55,0.84,58000,0,0,0,1,0,1,0,1
"149","Bajaj Pulsar 220 F",0.52,0.94,45000,0,0,0,1,0,1,0,1
"150","Bajaj Pulsar 220 F",0.51,0.94,24000,0,0,0,1,0,1,0,1
"151","TVS Apache RTR 180",0.5,0.826,6000,0,0,0,1,0,1,0,1
"152","Hero Passion X pro",0.5,0.55,31000,0,0,0,1,0,1,0,1
"153","Bajaj Pulsar NS 200",0.5,0.99,13000,0,0,0,1,0,1,0,1
"154","Bajaj Pulsar NS 200",0.5,0.99,45000,0,0,0,1,0,1,0,1
"155","Yamaha Fazer",0.5,0.88,8000,0,0,0,1,0,1,0,1
"156","Honda Activa 4G",0.48,0.51,4300,0,0,0,1,0,1,1,0
"157","TVS Sport",0.48,0.52,15000,0,0,0,1,0,1,0,1
"158","Yamaha FZ S V 2.0",0.48,0.84,23000,0,0,0,1,0,1,0,1
"159","Honda Dream Yuga",0.48,0.54,8600,0,0,0,1,0,1,0,1
"160","Honda Activa 4G",0.45,0.51,4000,0,0,0,1,0,1,1,0
"161","Bajaj Avenger Street 220",0.45,0.95,24000,0,0,0,1,0,1,0,1
"162","TVS Apache RTR 180",0.45,0.826,23000,0,0,0,1,0,1,0,1
"163","Bajaj Pulsar NS 200",0.45,0.99,14500,0,0,0,1,0,1,0,1
"164","Bajaj Avenger 220 dtsi",0.45,0.95,27000,0,0,0,1,0,1,0,1
"165","Hero Splender iSmart",0.45,0.54,14000,0,0,0,1,0,1,0,1
"166","Activa 3g",0.45,0.54,500,0,0,0,1,0,1,1,0
"167","Hero Passion Pro",0.45,0.55,1000,0,0,0,1,0,1,0,1
"168","TVS Apache RTR 160",0.42,0.81,42000,0,0,0,1,0,1,0,1
"169","Honda CB Trigger",0.42,0.73,12000,0,0,0,1,0,1,0,1
"170","Hero Splender iSmart",0.4,0.54,14000,0,0,0,1,0,1,0,1
"171","Yamaha FZ S",0.4,0.83,5500,0,0,0,1,0,1,0,1
"172","Hero Passion Pro",0.4,0.55,6700,0,0,0,1,0,1,0,1
"173","Bajaj Pulsar 135 LS",0.4,0.64,13700,0,0,0,1,0,1,0,1
"174","Activa 4g",0.4,0.51,1300,0,0,0,1,0,1,1,0
"175","Honda CB Unicorn",0.38,0.72,38600,0,0,0,1,0,1,0,1
"176","Hero Honda CBZ extreme",0.38,0.787,75000,0,0,0,1,0,1,0,1
"177","Honda Karizma",0.35,1.05,30000,0,0,0,1,0,1,0,1
"178","Honda Activa 125",0.35,0.57,24000,0,0,0,1,0,1,1,0
"179","TVS Jupyter",0.35,0.52,19000,0,0,0,1,0,1,1,0
"180","Honda Karizma",0.31,1.05,213000,0,0,0,1,0,1,0,1
"181","Hero Honda Passion Pro",0.3,0.51,60000,0,0,0,1,0,1,0,1
"182","Hero Splender Plus",0.3,0.48,50000,0,0,0,1,0,1,0,1
"183","Honda CB Shine",0.3,0.58,30000,0,0,0,1,0,1,0,1
"184","Bajaj Discover 100",0.27,0.47,21000,0,0,0,1,0,1,0,1
"185","Bajaj Pulsar 150",0.25,0.75,26000,1,0,0,1,0,1,0,1
"186","Suzuki Access 125",0.25,0.58,1900,0,0,0,1,0,1,1,0
"187","TVS Wego",0.25,0.52,22000,0,0,0,1,0,1,1,0
"188","Honda CB twister",0.25,0.51,32000,0,0,0,1,0,1,0,1
"189","Hero Glamour",0.25,0.57,18000,0,0,0,1,0,1,0,1
"190","Hero Super Splendor",0.2,0.57,55000,0,0,0,1,0,1,0,1
"191","Bajaj Pulsar 150",0.2,0.75,60000,0,0,0,1,0,1,0,1
"192","Bajaj Discover 125",0.2,0.57,25000,1,0,0,1,0,1,0,1
"193","Hero Hunk",0.2,0.75,49000,1,0,0,1,0,1,0,1
"194","Hero  Ignitor Disc",0.2,0.65,24000,1,0,0,1,0,1,0,1
"195","Hero  CBZ Xtreme",0.2,0.787,50000,0,0,0,1,0,1,0,1
"196","Bajaj  ct 100",0.18,0.32,35000,0,0,0,1,0,1,0,1
"197","Activa 3g",0.17,0.52,5e+05,0,0,0,1,0,1,1,0
"198","Honda CB twister",0.16,0.51,33000,0,0,0,1,0,1,0,1
"199","Bajaj Discover 125",0.15,0.57,35000,1,0,0,1,0,1,0,1
"200","Honda CB Shine",0.12,0.58,53000,0,0,0,1,0,1,0,1
"201","Bajaj Pulsar 150",0.1,0.75,92233,0,0,0,1,0,1,0,1
"202","i20",3.25,6.79,58000,1,0,1,0,1,0,0,1
"203","grand i10",4.4,5.7,28200,0,0,0,1,1,0,0,1
"204","i10",2.95,4.6,53460,0,0,0,1,1,0,0,1
"205","eon",2.75,4.43,28282,0,0,0,1,1,0,0,1
"206","grand i10",5.25,5.7,3493,1,0,0,1,1,0,0,1
"207","xcent",5.75,7.13,12479,0,0,0,1,1,0,0,1
"208","grand i10",5.15,5.7,34797,0,0,0,1,1,0,1,0
"209","i20",7.9,8.1,3435,0,0,0,1,1,0,0,1
"210","grand i10",4.85,5.7,21125,0,0,1,0,1,0,0,1
"211","i10",3.1,4.6,35775,0,0,0,1,1,0,0,1
"212","elantra",11.75,14.79,43535,0,0,1,0,1,0,0,1
"213","creta",11.25,13.6,22671,0,0,0,1,1,0,0,1
"214","i20",2.9,6.79,31604,0,0,0,1,1,0,0,1
"215","grand i10",5.25,5.7,20114,0,0,0,1,1,0,0,1
"216","verna",4.5,9.4,36100,0,0,0,1,1,0,0,1
"217","eon",2.9,4.43,12500,0,0,0,1,1,0,0,1
"218","eon",3.15,4.43,15000,0,0,0,1,1,0,0,1
"219","verna",6.45,9.4,45078,0,0,0,1,1,0,0,1
"220","verna",4.5,9.4,36000,0,0,0,1,1,0,0,1
"221","eon",3.5,4.43,38488,0,0,0,1,1,0,0,1
"222","i20",4.5,6.79,32000,0,0,0,1,1,0,1,0
"223","i20",6,7.6,77632,0,0,1,0,1,0,0,1
"224","verna",8.25,9.4,61381,0,0,1,0,1,0,0,1
"225","verna",5.11,9.4,36198,0,0,0,1,1,0,1,0
"226","i10",2.7,4.6,22517,0,0,0,1,1,0,0,1
"227","grand i10",5.25,5.7,24678,0,0,0,1,1,0,0,1
"228","i10",2.55,4.43,57000,0,0,0,1,1,0,0,1
"229","verna",4.95,9.4,60000,0,0,1,0,1,0,0,1
"230","i20",3.1,6.79,52132,0,0,1,0,1,0,0,1
"231","verna",6.15,9.4,45000,0,0,1,0,1,0,0,1
"232","verna",9.25,9.4,15001,0,0,0,1,1,0,0,1
"233","elantra",11.45,14.79,12900,0,0,0,1,1,0,1,0
"234","grand i10",3.9,5.7,53000,0,0,1,0,1,0,0,1
"235","grand i10",5.5,5.7,4492,0,0,0,1,1,0,0,1
"236","verna",9.1,9.4,15141,0,0,0,1,1,0,0,1
"237","eon",3.1,4.43,11849,0,0,0,1,1,0,0,1
"238","creta",11.25,13.6,68000,0,0,1,0,1,0,0,1
"239","verna",4.8,9.4,60241,0,0,0,1,1,0,0,1
"240","eon",2,4.43,23709,0,0,0,1,1,0,0,1
"241","verna",5.35,9.4,32322,0,0,1,0,1,0,0,1
"242","xcent",4.75,7.13,35866,1,0,0,1,1,0,0,1
"243","xcent",4.4,7.13,34000,0,0,0,1,1,0,0,1
"244","i20",6.25,7.6,7000,0,0,0,1,1,0,0,1
"245","verna",5.95,9.4,49000,0,0,1,0,1,0,0,1
"246","verna",5.2,9.4,71000,0,0,1,0,1,0,0,1
"247","i20",3.75,6.79,35000,0,0,0,1,1,0,0,1
"248","verna",5.95,9.4,36000,0,0,0,1,1,0,0,1
"249","i10",4,4.6,30000,0,0,0,1,1,0,0,1
"250","i20",5.25,7.6,17000,0,0,0,1,1,0,0,1
"251","creta",12.9,13.6,35934,0,0,1,0,1,0,0,1
"252","city",5,9.9,56701,0,0,0,1,1,0,0,1
"253","brio",5.4,6.82,31427,0,0,0,1,1,0,1,0
"254","city",7.2,9.9,48000,0,0,1,0,1,0,0,1
"255","city",5.25,9.9,54242,0,0,0,1,1,0,0,1
"256","brio",3,5.35,53675,0,0,0,1,1,0,0,1
"257","city",10.25,13.6,49562,0,0,0,1,1,0,0,1
"258","city",8.5,13.6,40324,0,0,0,1,1,0,0,1
"259","city",8.4,13.6,25000,0,0,0,1,1,0,0,1
"260","amaze",3.9,7,36054,0,0,0,1,1,0,0,1
"261","city",9.15,13.6,29223,0,0,0,1,1,0,0,1
"262","brio",5.5,5.97,5600,0,0,0,1,1,0,0,1
"263","amaze",4,5.8,40023,0,0,0,1,1,0,0,1
"264","jazz",6.6,7.7,16002,0,0,0,1,1,0,0,1
"265","amaze",4,7,40026,0,0,0,1,1,0,0,1
"266","jazz",6.5,8.7,21200,0,0,0,1,1,0,0,1
"267","amaze",3.65,7,35000,0,0,0,1,1,0,0,1
"268","city",8.35,9.4,19434,0,0,1,0,1,0,0,1
"269","brio",4.8,5.8,19000,0,0,0,1,1,0,0,1
"270","city",6.7,10,18828,0,0,0,1,1,0,0,1
"271","city",4.1,10,69341,0,0,0,1,1,0,0,1
"272","city",3,10,69562,0,0,0,1,1,0,0,1
"273","city",7.5,10,27600,0,0,0,1,1,0,0,1
"274","jazz",2.25,7.5,61203,0,0,0,1,1,0,0,1
"275","brio",5.3,6.8,16500,0,0,0,1,1,0,0,1
"276","city",10.9,13.6,30753,0,0,0,1,1,0,1,0
"277","city",8.65,13.6,24800,0,0,0,1,1,0,0,1
"278","city",9.7,13.6,21780,0,0,0,1,1,0,0,1
"279","jazz",6,8.4,4000,0,0,0,1,1,0,0,1
"280","city",6.25,13.6,40126,0,0,0,1,1,0,0,1
"281","brio",5.25,5.9,14465,0,0,0,1,1,0,0,1
"282","city",2.1,7.6,50456,0,0,0,1,1,0,0,1
"283","city",8.25,14,63000,0,0,1,0,1,0,0,1
"284","city",8.99,11.8,9010,0,0,0,1,1,0,0,1
"285","brio",3.5,5.9,9800,0,0,0,1,1,0,0,1
"286","jazz",7.4,8.5,15059,0,0,0,1,1,0,1,0
"287","jazz",5.65,7.9,28569,0,0,0,1,1,0,0,1
"288","amaze",5.75,7.5,44000,0,0,0,1,1,0,1,0
"289","city",8.4,13.6,34000,0,0,0,1,1,0,0,1
"290","city",10.11,13.6,10980,0,0,0,1,1,0,0,1
"291","amaze",4.5,6.4,19000,0,0,0,1,1,0,0,1
"292","brio",5.4,6.1,31427,0,0,0,1,1,0,0,1
"293","jazz",6.4,8.4,12000,0,0,0,1,1,0,0,1
"294","city",3.25,9.9,38000,0,0,0,1,1,0,0,1
"295","amaze",3.75,6.8,33019,0,0,0,1,1,0,0,1
"296","city",8.55,13.09,60076,0,0,1,0,1,0,0,1
"297","city",9.5,11.6,33988,0,0,1,0,1,0,0,1
"298","brio",4,5.9,60000,0,0,0,1,1,0,0,1
"299","city",3.35,11,87934,0,0,0,1,1,0,0,1
"300","city",11.5,12.5,9000,0,0,1,0,1,0,0,1
"301","brio",5.3,5.9,5464,0,0,0,1,1,0,0,1
